,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
0,広,33,菊池　涼介,.256,142,640,558,143,8,32,19,29,2,91,49,7,.346,.294,.640,3.28,3.25
1,広,9,丸　佳浩,.250,142,629,527,132,19,63,15,93,1,142,4,4,.416,.362,.777,5.60,5.63
2,広,63,田中　広輔,.275,140,587,541,149,8,45,6,33,7,104,5,8,.414,.325,.739,4.66,4.47
3,広,28,新井　貴浩,.275,124,476,422,116,7,57,3,48,2,73,0,15,.386,.349,.735,4.69,4.63
4,広,6,梵　英心,.237,96,332,283,67,6,27,2,36,1,49,10,6,.360,.323,.683,3.89,3.93
5,広,55,エルドレッド,.230,78,297,261,60,19,54,1,31,1,90,0,3,.471,.310,.781,4.96,5.29
6,広,27,會澤　翼,.246,92,290,252,62,6,30,0,26,7,49,2,9,.369,.330,.699,3.96,4.06
7,広,57,シアーホルツ,.250,65,248,232,58,10,30,3,14,2,67,0,0,.435,.298,.734,4.70,4.68
8,広,31,石原　慶幸,.242,82,236,215,52,2,12,1,13,0,41,8,10,.298,.285,.583,2.31,2.27
9,広,51,鈴木　誠也,.279,96,235,208,58,5,25,6,16,2,37,7,3,.409,.333,.742,4.39,4.43
10,広,44,松山　竜平,.279,99,228,201,56,7,26,1,23,1,30,0,8,.448,.351,.799,5.20,5.21
11,広,37,野間　峻祥,.243,126,187,169,41,1,10,8,10,1,37,6,2,.373,.287,.660,3.69,3.65
12,広,69,ロサリオ,.258,42,136,124,32,2,12,1,11,1,23,0,1,.347,.324,.670,4.10,4.05
13,広,13,グスマン,.230,34,116,100,23,3,12,0,15,1,25,0,2,.420,.336,.756,4.94,4.85
14,広,66,木村　昇吾,.269,72,109,93,25,0,8,2,5,0,22,8,1,.355,.297,.652,3.66,3.81
15,広,4,小窪　哲也,.296,69,88,71,21,1,15,1,15,0,18,2,2,.366,.419,.785,6.07,5.93
16,広,60,安部　友裕,.246,25,73,69,17,0,2,1,1,0,5,3,1,.246,.257,.504,1.54,1.59
17,広,7,堂林　翔太,.269,32,71,67,18,0,3,1,3,0,15,1,1,.299,.300,.599,3.16,3.06
18,広,49,天谷　宗一郎,.214,30,34,28,6,0,2,3,6,0,7,0,1,.214,.353,.567,1.62,1.89
19,広,10,岩本　貴裕,.300,7,10,10,3,0,0,0,0,0,1,0,0,.400,.300,.700,4.59,4.17
20,広,35,下水流　昂,.200,5,10,10,2,0,0,0,0,0,3,0,0,.200,.200,.400,0.74,0.88
21,広,38,赤松　真人,.222,52,9,9,2,0,0,6,0,0,2,0,0,.333,.222,.556,1.33,1.86
22,広,00,中東　直己,.000,9,4,3,0,0,0,0,0,0,1,1,0,.000,.000,.000,-1.80,-1.62
23,広,59,美間　優槻,.000,1,3,3,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.77,-2.52
24,広,61,磯村　嘉孝,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
25,広,32,白濱　裕太,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
26,広,40,倉　義和,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
27,広,5,栗原　健太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,広,43,土生　翔平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,広,45,桑原　樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,広,2,東出　輝裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,広,52,庄司　隼人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,広,25,高橋　大樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,広,50,鈴木　将光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,広,99,中村　憲,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,広,64,多田　大輔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,広,0,上本　崇司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,広,26,廣瀬　純,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,巨,6,坂本　勇人,.269,130,558,479,129,12,68,10,65,0,79,9,5,.401,.353,.754,5.27,5.27
39,巨,7,長野　久義,.251,130,479,434,109,15,52,3,34,4,81,5,12,.415,.310,.725,4.20,4.22
40,巨,9,亀井　善行,.272,109,432,382,104,6,35,8,40,1,59,3,6,.374,.338,.712,4.75,4.77
41,巨,10,阿部　慎之助,.242,111,419,343,83,15,47,0,64,8,84,0,9,.414,.370,.784,5.51,5.65
42,巨,8,片岡　治大,.244,113,411,348,85,10,36,21,25,2,36,36,7,.374,.299,.672,3.45,3.45
43,巨,25,村田　修一,.236,103,370,330,78,12,39,1,28,8,65,2,12,.373,.310,.683,3.64,3.75
44,巨,58,立岡　宗一郎,.304,91,367,339,103,0,14,16,18,4,61,3,2,.348,.343,.691,4.66,4.57
45,巨,2,井端　弘和,.234,98,321,269,63,1,19,3,37,3,36,10,4,.279,.331,.610,3.32,3.41
46,巨,42,アンダーソン,.252,83,260,234,59,7,31,1,21,5,37,0,5,.402,.327,.729,4.54,4.46
47,巨,22,小林　誠司,.226,70,204,177,40,2,13,2,19,3,39,5,6,.294,.312,.605,2.96,2.97
48,巨,24,高橋　由伸,.278,77,158,133,37,5,21,2,20,4,39,0,3,.429,.386,.815,6.26,6.25
