,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
0,広,9,丸　佳浩,.286,4,17,14,4,0,0,0,3,0,2,0,0,.429,.412,.840,7.38,7.13
1,広,2,田中　広輔,.267,4,17,15,4,0,2,0,2,0,2,0,0,.400,.353,.753,5.59,5.42
2,広,33,菊池　涼介,.333,4,17,15,5,0,1,0,0,0,1,1,0,.400,.313,.713,4.66,5.00
3,広,5,ルナ,.267,4,16,15,4,0,1,0,1,0,4,0,0,.333,.313,.646,3.97,3.78
4,広,25,新井　貴浩,.333,4,16,15,5,0,2,0,1,0,4,0,0,.400,.375,.775,6.19,5.75
5,広,55,エルドレッド,.214,4,15,14,3,0,1,0,0,1,3,0,0,.357,.267,.624,3.35,3.12
6,広,49,天谷　宗一郎,.375,4,13,8,3,0,2,3,5,0,1,0,1,.375,.615,.990,13.74,13.10
7,広,27,會澤　翼,.286,3,7,7,2,0,2,0,0,0,2,0,0,.429,.286,.714,4.56,4.05
8,広,31,石原　慶幸,.167,2,6,6,1,0,0,0,0,0,0,0,0,.167,.167,.333,0.10,0.27
9,広,60,安部　友裕,.333,3,3,3,1,0,0,0,0,0,1,0,0,.333,.333,.667,4.43,4.19
10,広,37,野間　峻祥,.000,4,2,2,0,0,0,1,0,0,1,0,1,.000,.000,.000,-3.64,-3.42
11,広,63,西川　龍馬,.500,3,2,2,1,0,0,0,0,0,1,0,0,1.500,.500,2.000,29.44,25.38
12,広,4,小窪　哲也,.000,2,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
13,広,44,松山　竜平,.000,2,2,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
14,広,35,下水流　昂,.000,1,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
15,広,10,岩本　貴裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,広,26,廣瀬　純,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,広,61,磯村　嘉孝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,広,7,堂林　翔太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,広,52,庄司　隼人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,広,51,鈴木　誠也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,広,00,中東　直己,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,広,54,船越　涼太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,広,50,髙橋　大樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,広,59,美間　優槻,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,広,45,桒原　樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,広,6,梵　英心,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,広,69,青木　陸,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,広,0,上本　崇司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,広,40,倉　義和,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,広,13,プライディ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,広,64,多田　大輔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,広,43,土生　翔平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,広,32,白濱　裕太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,広,38,赤松　真人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
