Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
広,6,梵　英心,.244,137,575,499,122,10,52,14,50,1,70,19,7,.359,.311,.670,3.77,3.85
広,13,堂林　翔太,.242,144,554,488,118,14,45,5,44,14,150,5,8,.395,.321,.716,4.40,4.42
広,49,天谷　宗一郎,.265,108,397,359,95,6,25,12,32,3,64,2,3,.373,.329,.702,4.33,4.25
広,63,丸　佳浩,.247,106,339,283,70,4,22,14,46,2,59,5,4,.353,.353,.707,4.62,4.70
広,26,廣瀬　純,.241,102,337,294,71,6,33,0,24,11,55,7,3,.347,.321,.668,4.02,4.02
広,2,東出　輝裕,.247,91,282,247,61,0,6,1,13,3,22,19,3,.279,.293,.572,2.62,2.57
広,55,エルドレッド,.262,65,251,225,59,11,35,0,20,3,67,0,3,.453,.327,.780,5.29,5.38
広,31,石原　慶幸,.240,77,250,217,52,1,22,0,22,1,37,9,7,.323,.311,.634,3.11,2.99
広,38,赤松　真人,.242,76,246,207,50,3,15,18,18,4,33,16,4,.314,.313,.627,3.62,3.65
広,10,岩本　貴裕,.268,71,242,239,64,6,27,1,2,0,43,1,5,.406,.274,.680,3.63,3.50
広,33,菊池　涼介,.229,63,234,201,46,2,12,4,6,1,42,25,5,.294,.254,.547,1.99,2.04
広,70,ニック,.238,52,204,181,43,9,24,0,22,1,42,0,4,.431,.324,.754,4.78,4.79
広,40,倉　義和,.195,70,160,133,26,1,15,1,14,5,20,8,6,.263,.296,.559,2.23,2.28
広,37,松山　竜平,.204,48,146,137,28,0,7,1,8,1,13,0,3,.234,.253,.487,1.65,1.71
広,44,迎　祐一郎,.227,55,145,128,29,2,11,1,10,2,14,4,3,.305,.291,.595,2.78,2.90
広,60,安部　友裕,.252,53,135,119,30,1,2,5,7,0,21,9,1,.303,.294,.596,2.98,2.95
広,5,栗原　健太,.211,21,84,76,16,0,5,0,6,0,15,0,1,.211,.262,.472,1.69,2.10
広,32,白濱　裕太,.164,35,72,61,10,0,5,0,6,0,19,5,2,.180,.239,.419,0.79,0.80
広,64,會澤　翼,.197,28,70,66,13,0,2,0,2,2,7,0,2,.242,.243,.485,1.22,1.27
広,1,前田　智徳,.327,56,56,49,16,0,19,0,5,0,5,0,2,.408,.375,.783,5.47,5.33
広,66,木村　昇吾,.152,71,55,46,7,0,2,1,3,2,7,4,4,.196,.235,.431,0.25,0.34
広,4,小窪　哲也,.209,25,52,43,9,0,2,0,1,1,6,7,1,.279,.244,.524,1.77,1.70
