Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,2,田中　広輔,.281,78,371,310,63,87,3,3,7,117,19,17,7,0,1,49,1,11,66,1,.377,.396
広,9,丸　佳浩,.281,78,356,306,54,86,18,4,10,142,50,12,3,0,1,45,1,4,49,4,.464,.379
広,33,菊池　涼介,.312,77,356,317,50,99,14,2,8,141,40,9,4,14,2,23,0,0,54,2,.445,.357
広,25,新井　貴浩,.296,73,294,260,30,77,12,2,5,108,49,0,0,0,1,32,1,1,61,6,.415,.374
広,55,エルドレッド,.319,66,256,229,35,73,11,0,16,132,38,1,0,0,3,21,0,3,60,4,.576,.379
広,51,鈴木　誠也,.304,64,252,227,29,69,17,5,11,129,41,9,5,2,2,20,0,1,37,5,.568,.360
広,31,石原　慶幸,.151,56,162,139,10,21,3,0,0,24,4,4,0,7,0,13,4,3,38,4,.173,.239
広,60,安部　友裕,.281,57,153,135,10,38,4,3,3,57,20,4,0,5,3,10,1,0,35,2,.422,.324
広,44,松山　竜平,.292,55,148,137,20,40,5,1,6,65,25,0,0,0,0,11,1,0,12,4,.474,.345
広,5,ルナ,.290,28,118,107,15,31,3,0,2,40,18,1,0,0,0,11,0,0,17,4,.374,.356
広,27,會澤　翼,.219,42,110,96,8,21,4,0,2,31,11,0,0,3,1,9,0,1,20,2,.323,.290
広,49,天谷　宗一郎,.185,45,79,65,10,12,1,0,1,16,8,3,0,0,1,12,0,1,12,1,.246,.316
広,4,小窪　哲也,.211,41,70,57,5,12,7,0,1,22,5,0,0,0,0,11,0,2,11,2,.386,.357
広,7,堂林　翔太,.205,31,41,39,4,8,0,0,2,14,2,0,0,1,0,1,0,0,8,0,.359,.225
広,35,下水流　昂,.364,16,37,33,4,12,3,0,1,18,6,0,0,0,0,4,0,0,10,1,.545,.432
広,63,西川　龍馬,.273,34,34,33,5,9,1,1,0,12,2,0,1,1,0,0,0,0,7,0,.364,.273
広,61,磯村　嘉孝,.200,17,26,25,2,5,1,0,0,6,2,0,0,0,0,1,1,0,3,1,.240,.231
広,37,野間　峻祥,.000,11,11,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,.000,.000
広,38,赤松　真人,.444,48,10,9,8,4,0,0,0,4,2,9,1,0,0,1,0,0,0,0,.444,.500
広,43,土生　翔平,.125,5,9,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,.125,.222
広,52,庄司　隼人,.000,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
広,0,上本　崇司,.000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,10,岩本　貴裕,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,69,青木　陸,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,6,梵　英心,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,54,船越　涼太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
