Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,1.53,29,14,7,0,0,.667,820,206.1,161,6,44,9,171,46,35,0.99,2.60
広,42,バリントン,3.23,29,7,14,0,0,.333,733,175.2,166,8,44,5,137,79,63,1.20,2.92
広,19,野村　祐輔,1.98,27,9,11,0,0,.450,704,172.2,143,6,52,2,103,46,38,1.13,3.32
広,17,大竹　寛,2.36,24,11,5,0,0,.688,618,144.2,144,6,43,5,85,44,38,1.29,3.46
広,62,今井　啓介,2.81,24,4,8,1,1,.333,405,96.0,86,8,34,1,70,35,30,1.25,3.84
広,16,今村　猛,1.89,69,2,2,4,26,.500,344,85.2,73,4,18,4,89,21,18,1.06,2.35
広,11,福井　優也,4.30,17,2,3,0,0,.400,264,58.2,52,6,37,1,53,28,28,1.52,4.59
広,57,ミコライオ,2.79,61,3,5,21,15,.375,227,58.0,42,4,14,3,54,19,18,0.97,3.03
広,58,サファテ,2.90,47,2,5,9,4,.286,221,49.2,43,1,24,6,44,24,16,1.35,3.42
広,34,中田　廉,3.89,27,1,0,0,3,1.000,151,34.2,38,3,12,1,26,15,15,1.44,3.87
広,14,篠田　純平,4.88,7,1,3,0,0,.250,127,27.2,39,4,11,1,12,15,15,1.81,5.32
広,21,齊藤　悠葵,5.20,6,2,3,0,0,.400,123,27.2,24,2,16,1,13,17,16,1.45,4.96
広,48,岸本　秀樹,6.75,27,0,2,0,3,.000,114,24.0,24,1,17,0,27,20,18,1.71,3.29
広,23,横山　竜士,0.42,23,2,0,0,5,1.000,86,21.2,11,0,9,3,15,2,1,0.92,3.12
広,56,中崎　翔太,2.57,12,0,1,0,1,.000,84,21.0,15,1,8,1,14,7,6,1.10,3.69
広,29,江草　仁貴,4.43,26,0,0,0,5,.000,86,20.1,17,2,9,0,15,11,10,1.28,4.25
広,24,河内　貴哉,2.08,28,1,0,0,3,1.000,73,17.1,12,2,8,0,13,6,4,1.15,4.50
広,22,中村　恭平,4.85,8,0,0,0,0,.000,56,13.0,10,0,8,1,6,8,7,1.38,4.27
広,36,菊地原　毅,4.70,14,0,1,0,3,.000,37,7.2,7,0,4,1,3,4,4,1.43,4.29
広,39,梅津　智弘,4.05,9,0,0,0,1,.000,38,6.2,11,0,4,3,5,5,3,2.25,4.77
広,53,戸田　隆矢,6.00,1,0,1,0,0,.000,15,3.0,4,0,2,0,0,2,2,2.00,5.12
広,46,大島　崇行,0.00,1,0,0,0,0,.000,2,0.1,0,0,1,0,0,0,0,3.00,12.12
