Team,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
広,0,上本　崇司,内野手,1990/08/22,25,4,170,71,A,右両,広島,880
広,00,中東　直己,外野手,1981/10/05,34,10,168,73,B,右左,広島,"1,300"
広,2,田中　広輔,内野手,1989/07/03,26,3,171,81,A,右左,神奈川,"4,100"
広,4,小窪　哲也,内野手,1985/04/12,31,9,175,80,O,右右,奈良,"4,000"
広,5,ルナ,内野手,1980/02/01,36,4,187,99,B,右右,ドミニカ共和国,"12,000"
広,6,梵　英心,内野手,1980/10/11,35,11,173,76,B,右右,広島,"9,000"
広,7,堂林　翔太,内野手,1991/08/17,24,7,183,83,A,右右,愛知,"1,830"
広,9,丸　佳浩,外野手,1989/04/11,27,9,177,90,AB,右左,千葉,"8,500"
広,10,岩本　貴裕,外野手,1986/04/18,30,8,182,96,A,左左,広島,"1,500"
広,11,福井　優也,投手,1988/02/08,28,6,178,80,A,右右,岡山,"4,200"
広,12,九里　亜蓮,投手,1991/09/01,24,3,187,92,A,右右,鳥取,"1,560"
広,13,プライディ,外野手,1983/10/09,32,1,185,93,不明,右左,アメリカ,"5,700"
広,14,大瀬良　大地,投手,1991/06/17,25,3,187,93,AB,右右,長崎,"4,600"
広,15,黒田　博樹,投手,1975/02/10,41,13,185,93,B,右右,大阪,"60,000"
広,16,今村　猛,投手,1991/04/17,25,7,183,95,B,右右,長崎,"3,650"
広,17,岡田　明丈,投手,1993/10/18,22,1,185,80,AB,右左,東京,"1,500"
広,19,野村　祐輔,投手,1989/06/24,27,5,177,82,AB,右右,岡山,"5,200"
広,20,永川　勝浩,投手,1980/12/14,35,14,188,98,O,右右,広島,"5,000"
広,21,中﨑　翔太,投手,1992/08/10,23,6,186,96,B,右右,鹿児島,"4,200"
広,22,中村　恭平,投手,1989/03/22,27,6,185,82,O,左左,福岡,800
広,23,薮田　和樹,投手,1992/08/07,23,2,188,84,B,右右,広島,"1,000"
広,24,横山　弘樹,投手,1992/03/12,24,1,187,86,O,右左,宮崎,"1,350"
広,25,新井　貴浩,内野手,1977/01/30,39,18,189,96,B,右右,広島,"6,000"
広,26,廣瀬　純,外野手,1979/03/29,37,16,181,85,B,右右,大分,"3,800"
広,27,會澤　翼,捕手,1988/04/13,28,10,177,91,B,右右,茨城,"2,300"
広,29,江草　仁貴,投手,1980/09/03,35,14,178,83,A,左左,広島,"1,700"
広,30,一岡　竜司,投手,1991/01/11,25,5,179,82,O,右右,福岡,"2,400"
広,31,石原　慶幸,捕手,1979/09/07,36,15,177,90,A,右右,岐阜,"10,000"
広,32,白濱　裕太,捕手,1985/10/31,30,13,180,92,A,右右,大阪,860
広,33,菊池　涼介,内野手,1990/03/11,26,5,171,69,A,右右,東京,"8,500"
広,34,中田　廉,投手,1990/07/21,25,8,189,91,AB,右右,大阪,"2,600"
広,35,下水流　昂,外野手,1988/04/23,28,4,178,88,A,右右,神奈川,810
広,36,塹江　敦哉,投手,1997/02/21,19,2,178,78,A,左左,香川,540
広,37,野間　峻祥,外野手,1993/01/28,23,2,180,80,B,右左,兵庫,"1,700"
広,38,赤松　真人,外野手,1982/09/06,33,12,182,75,O,右右,京都,"3,300"
広,39,飯田　哲矢,投手,1991/03/28,25,2,182,80,A,左左,神奈川,"1,000"
広,40,倉　義和,捕手,1975/07/27,40,19,179,90,O,右右,京都,"2,700"
広,41,藤井　皓哉,投手,1996/07/29,19,2,181,83,AB,右左,岡山,540
広,42,ジョンソン,投手,1984/10/14,31,2,193,93,不明,左左,アメリカ,"15,000"
広,43,土生　翔平,外野手,1989/08/16,26,5,180,87,O,右左,広島,690
広,44,松山　竜平,外野手,1985/09/18,30,9,176,95,B,右左,鹿児島,"2,800"
広,45,桒原　樹,内野手,1996/07/04,19,2,180,74,O,右左,静岡,540
広,46,高橋　樹也,投手,1997/06/21,19,1,176,75,A,左左,岩手,540
広,47,小野　淳平,投手,1987/04/05,29,7,178,82,B,右右,大分,"1,400"
広,48,西原　圭大,投手,1988/09/29,27,3,179,81,B,右右,愛媛,790
広,49,天谷　宗一郎,外野手,1983/11/08,32,15,178,87,O,左左,福井,"2,300"
広,50,髙橋　大樹,外野手,1994/05/11,22,4,181,85,O,右右,大阪,650
広,51,鈴木　誠也,外野手,1994/08/18,21,4,181,87,A,右右,東京,"1,700"
広,52,庄司　隼人,内野手,1991/06/21,25,7,175,76,A,右左,静岡,580
