Game_Index,Date,HomeTeam,HomePoint,AwayTeam,AwayPoint,Studium,StartTime
0,2009/4/3,中,4,横,1,ナゴヤドーム,18:00
1,2009/4/3,巨,3,広,6,東京ドーム,18:00
2,2009/4/3,阪,5,ヤ,2,京セラD大阪,18:00
3,2009/4/3,日,1,楽,3,札幌ドーム,18:00
4,2009/4/3,ソ,8,オ,0,ヤフードーム,18:00
5,2009/4/3,ロ,2,西,5,千葉マリン,18:30
6,2009/4/4,中,6,横,0,ナゴヤドーム,18:00
7,2009/4/4,巨,3,広,5,東京ドーム,18:00
8,2009/4/4,阪,1,ヤ,5,京セラD大阪,14:00
9,2009/4/4,日,5,楽,6,札幌ドーム,13:00
10,2009/4/4,ソ,2,オ,5,ヤフードーム,13:00
11,2009/4/4,ロ,10,西,5,千葉マリン,14:00
12,2009/4/5,中,6,横,0,ナゴヤドーム,18:00
13,2009/4/5,巨,1,広,1,東京ドーム,18:00
14,2009/4/5,阪,6,ヤ,7,京セラD大阪,14:00
15,2009/4/5,日,6,楽,9,札幌ドーム,13:00
16,2009/4/5,ソ,2,オ,1,ヤフードーム,13:00
17,2009/4/5,ロ,6,西,5,千葉マリン,13:00
18,2009/4/7,ヤ,3,中,4,神宮,18:00
19,2009/4/7,阪,11,広,10,甲子園,18:00
20,2009/4/7,横,1,巨,5,横浜,18:30
21,2009/4/7,楽,6,ソ,0,Ｋスタ宮城,18:00
22,2009/4/7,日,9,ロ,1,東京ドーム,18:00
23,2009/4/7,西,8,オ,3,西武ドーム,18:00
24,2009/4/8,ヤ,8,中,4,神宮,18:00
25,2009/4/8,阪,8,広,2,甲子園,18:00
26,2009/4/8,横,1,巨,12,横浜,18:00
27,2009/4/8,楽,0,ソ,7,Ｋスタ宮城,18:00
28,2009/4/8,日,8,ロ,7,東京ドーム,18:00
29,2009/4/8,西,2,オ,10,西武ドーム,18:00
30,2009/4/9,ヤ,10,中,7,神宮,18:00
31,2009/4/9,阪,2,広,4,甲子園,18:00
32,2009/4/9,横,2,巨,9,横浜,18:00
33,2009/4/9,楽,2,ソ,1,Ｋスタ宮城,18:00
34,2009/4/9,西,13,オ,6,西武ドーム,18:00
35,2009/4/10,広,3,中,11,マツダスタ,18:00
36,2009/4/10,巨,6,阪,5,東京ドーム,18:00
37,2009/4/10,横,9,ヤ,1,横浜,18:00
38,2009/4/10,オ,10,ロ,8,京セラD大阪,18:00
39,2009/4/10,楽,0,西,6,Ｋスタ宮城,18:00
40,2009/4/10,ソ,1,日,9,ヤフードーム,18:00
41,2009/4/11,広,2,中,0,マツダスタ,14:00
42,2009/4/11,巨,4,阪,1,東京ドーム,18:00
43,2009/4/11,横,0,ヤ,3,横浜,14:00
44,2009/4/11,オ,5,ロ,2,京セラD大阪,14:30
45,2009/4/11,楽,2,西,5,Ｋスタ宮城,14:00
46,2009/4/11,ソ,0,日,9,ヤフードーム,18:00
47,2009/4/12,広,10,中,0,マツダスタ,13:30
48,2009/4/12,巨,6,阪,6,東京ドーム,14:00
49,2009/4/12,横,5,ヤ,3,横浜,14:00
50,2009/4/12,オ,4,ロ,1,スカイマーク,14:30
51,2009/4/12,楽,4,西,1,Ｋスタ宮城,13:00
52,2009/4/12,ソ,5,日,4,ヤフードーム,13:00
53,2009/4/14,広,1,横,4,マツダスタ,18:00
54,2009/4/14,ヤ,中止,巨,中止,神宮,18:00
55,2009/4/14,阪,中止,中,中止,甲子園,18:00
56,2009/4/14,日,7,オ,8,札幌ドーム,18:00
57,2009/4/14,ソ,3,西,5,熊本,18:00
58,2009/4/14,ロ,1,楽,2,千葉マリン,18:15
59,2009/4/15,広,3,横,2,マツダスタ,18:00
60,2009/4/15,ヤ,2,巨,6,神宮,18:00
61,2009/4/15,阪,2,中,9,甲子園,18:00
62,2009/4/15,日,11,オ,5,札幌ドーム,18:00
63,2009/4/15,ソ,2,西,2,ヤフードーム,18:00
64,2009/4/15,ロ,7,楽,1,千葉マリン,18:15
65,2009/4/16,広,1,横,2,マツダスタ,18:00
66,2009/4/16,ヤ,6,巨,2,神宮,18:00
67,2009/4/16,阪,4,中,3,甲子園,18:00
68,2009/4/16,日,7,オ,1,札幌ドーム,18:00
69,2009/4/16,ソ,5,西,12,ヤフードーム,18:00
70,2009/4/16,ロ,11,楽,7,千葉マリン,18:15
71,2009/4/17,中,3,巨,5,ナゴヤドーム,18:00
72,2009/4/17,ヤ,6,広,1,神宮,18:00
73,2009/4/17,横,1,阪,5,横浜,18:00
74,2009/4/17,西,2,日,4,西武ドーム,18:00
75,2009/4/17,ロ,2,ソ,1,千葉マリン,18:30
76,2009/4/18,中,2,巨,3,ナゴヤドーム,15:00
77,2009/4/18,ヤ,1,広,0,神宮,18:00
78,2009/4/18,横,4,阪,9,横浜,14:00
