,Team,背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
0,広,18,前田　健太,2.17,28,15,8,0,0,.652,791,199.1,162,5,38,6,170,49,48,1.00,2.40
1,広,42,ジョンソン,1.85,28,14,7,0,0,.667,773,194.1,146,5,67,2,150,43,40,1.10,2.98
2,広,15,黒田　博樹,2.55,26,11,8,0,0,.579,685,169.2,158,8,29,7,106,53,48,1.10,3.12
3,広,11,福井　優也,3.56,21,9,6,0,0,.600,541,131.1,106,10,53,5,99,53,52,1.21,3.93
4,広,14,大瀬良　大地,2.89,50,3,7,2,20,.300,471,109.0,108,5,31,1,97,50,35,1.28,2.82
5,広,19,野村　祐輔,4.64,15,5,8,0,0,.385,384,87.1,110,11,23,3,51,53,45,1.52,4.48
6,広,56,中崎　翔太,2.40,68,0,6,29,11,.000,293,71.1,63,4,23,1,58,20,19,1.21,3.23
7,広,53,戸田　隆矢,3.63,34,3,3,0,5,.500,273,62.0,59,4,29,0,44,31,25,1.42,3.94
8,広,70,ヒース,2.36,43,3,6,4,10,.333,205,49.2,43,3,19,0,59,14,13,1.25,2.62
9,広,30,一岡　竜司,4.14,38,2,4,1,7,.333,176,37.0,42,5,21,1,35,21,17,1.70,4.77
10,広,20,永川　勝浩,4.78,26,1,1,0,9,.500,119,26.1,27,2,14,3,27,14,14,1.56,3.99
11,広,16,今村　猛,3.46,21,1,1,0,1,.500,115,26.0,24,1,13,0,22,14,10,1.42,3.43
12,広,23,薮田　和樹,5.76,6,1,2,0,0,.333,120,25.0,25,3,20,2,18,16,16,1.80,5.88
13,広,62,今井　啓介,3.00,11,0,1,0,1,.000,71,18.0,16,2,2,1,11,7,6,1.00,3.84
14,広,39,飯田　哲矢,2.65,16,0,0,0,0,.000,72,17.0,12,1,10,0,11,6,5,1.29,4.36
15,広,12,九里　亜蓮,4.50,7,0,1,0,1,.000,75,16.0,19,3,7,1,10,10,8,1.63,5.81
16,広,58,ザガースキー,2.40,19,0,0,0,6,.000,66,15.0,13,1,7,0,16,5,4,1.33,3.25
17,広,29,江草　仁貴,2.25,7,0,0,0,0,.000,35,8.0,7,0,4,1,7,2,2,1.38,3.25
18,広,34,中田　廉,0.00,5,1,0,0,0,1.000,20,5.0,4,0,3,0,4,0,0,1.40,2.72
19,広,54,武内　久士,9.00,1,0,0,0,0,.000,21,4.0,7,0,2,0,1,4,4,2.25,4.12
20,広,22,中村　恭平,10.80,1,0,1,0,0,.000,18,3.1,7,1,1,0,3,5,4,2.40,6.12
21,広,48,西原　圭大,0.00,3,0,0,0,0,.000,11,2.1,3,0,0,1,3,0,0,1.29,1.83
22,広,24,河内　貴哉,27.00,1,0,0,0,0,.000,3,0.1,2,0,0,0,0,1,1,6.00,3.12
23,広,41,藤井　皓哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,広,98,佐藤　祥万,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,広,67,中村　祐太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,広,21,篠田　純平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,広,46,岩見　優輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,広,68,池ノ内　亮介,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,広,47,小野　淳平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,広,36,塹江　敦哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,巨,19,菅野　智之,1.91,25,10,11,0,0,.476,710,179.0,148,10,41,7,126,46,38,1.06,3.18
32,巨,54,高木　勇人,3.19,26,9,10,0,0,.474,678,163.2,143,16,47,8,131,66,58,1.16,3.78
33,巨,49,ポレダ,2.94,24,8,8,0,0,.500,619,147.0,133,6,46,8,101,57,48,1.22,3.34
34,巨,39,マイコラス,1.92,21,13,3,0,0,.813,557,145.0,107,8,23,1,107,34,31,0.90,2.86
35,巨,18,杉内　俊哉,3.95,17,6,6,0,0,.500,401,95.2,88,9,35,3,93,42,42,1.29,3.59
36,巨,15,澤村　拓一,1.32,60,7,3,36,3,.700,282,68.1,58,4,21,3,60,12,10,1.16,3.18
37,巨,90,田口　麗斗,2.71,13,3,5,0,0,.375,274,66.1,54,5,26,3,64,26,20,1.21,3.44
38,巨,20,マシソン,2.62,63,3,8,2,28,.273,244,58.1,47,5,21,2,55,22,17,1.17,3.53
39,巨,17,大竹　寛,3.21,11,3,4,0,0,.429,227,56.0,56,5,11,0,35,21,20,1.20,3.62
40,巨,47,山口　鉄也,2.73,60,4,5,2,29,.444,216,52.2,48,5,15,2,31,18,16,1.20,4.15
41,巨,30,宮國　椋丞,2.94,39,3,1,1,5,.750,194,49.0,38,4,15,0,28,17,16,1.08,3.90
42,巨,28,高木　京介,2.20,33,1,0,0,1,1.000,167,41.0,31,4,13,0,43,10,10,1.07,3.24
43,巨,50,戸根　千明,2.88,46,1,1,1,5,.500,168,40.2,26,3,18,0,39,13,13,1.08,3.49
44,巨,26,内海　哲也,5.01,5,2,1,0,0,.667,104,23.1,30,4,6,0,10,15,13,1.54,5.26
45,巨,63,笠原　将生,6.16,20,0,0,0,1,.000,90,19.0,25,4,11,0,18,13,13,1.89,5.70
46,巨,37,田原　誠次,1.00,18,1,0,0,4,1.000,75,18.0,11,1,9,2,18,2,2,1.11,3.68
47,巨,59,小山　雄輝,4.02,7,0,1,1,2,.000,68,15.2,18,2,7,0,10,7,7,1.60,4.84
48,巨,13,香月　良太,3.77,14,0,0,0,0,.000,58,14.1,14,2,2,0,5,9,6,1.12,4.65
49,巨,67,土田　瑞起,6.39,11,1,0,0,0,1.000,57,12.2,14,1,6,0,13,9,9,1.58,3.51
50,巨,94,メンドーサ,3.00,2,0,0,0,1,.000,13,3.0,3,0,1,0,3,1,1,1.33,1.12
51,巨,48,矢貫　俊之,13.50,3,0,0,0,0,.000,8,1.1,3,0,1,0,2,2,2,3.00,2.37
52,巨,35,西村　健太朗,9.00,1,0,0,0,0,.000,4,1.0,1,1,0,0,0,1,1,1.00,16.12
53,巨,99,阿南　徹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,巨,92,平良　拳太郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,巨,57,公文　克彦,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,巨,69,田中　大輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,巨,46,野間口　貴彦,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,巨,11,久保　裕也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,巨,62,江柄子　裕樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,巨,45,今村　信貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,巨,29,福田　聡志,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,巨,66,須永　英輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,巨,41,松本　竜也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,巨,43,青木　高広,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,阪,19,藤浪　晋太郎,2.40,28,14,7,0,0,.667,840,199.0,162,9,82,11,221,70,53,1.23,2.89
66,阪,54,メッセンジャー,2.97,29,9,12,0,0,.429,799,193.2,163,10,60,4,194,68,64,1.15,2.78
67,阪,21,岩田　稔,3.22,27,8,10,0,0,.444,722,170.1,168,13,49,5,119,66,61,1.27,3.65
68,阪,14,能見　篤史,3.72,27,11,13,0,0,.458,672,159.2,170,13,38,2,125,73,66,1.30,3.35
69,阪,67,岩崎　優,3.51,15,3,10,0,0,.231,326,77.0,74,7,19,5,57,39,30,1.21,3.72
70,阪,22,呉　昇桓,2.73,63,2,3,41,7,.400,289,69.1,64,6,16,2,66,21,21,1.15,3.12
71,阪,28,福原　忍,3.02,61,6,4,1,33,.600,223,53.2,55,4,18,0,40,19,18,1.36,3.60
72,阪,16,安藤　優也,3.02,50,5,4,0,15,.556,184,44.2,43,4,11,2,32,17,15,1.21,3.59
73,阪,34,高宮　和也,3.03,52,2,0,0,8,1.000,157,35.2,35,2,15,3,27,14,12,1.40,3.85
74,阪,26,歳内　宏明,2.62,29,1,1,0,2,.500,144,34.1,15,1,27,1,23,10,10,1.22,4.52
75,阪,59,岩本　輝,3.69,13,2,1,0,0,.667,144,31.2,37,1,15,1,20,13,13,1.64,3.78
76,阪,56,松田　遼馬,5.74,30,3,2,0,3,.600,143,31.1,36,4,15,1,31,20,20,1.63,4.33
77,阪,17,岩貞　祐太,4.35,5,1,1,0,0,.500,95,20.2,24,2,11,2,11,12,10,1.69,5.20
78,阪,69,島本　浩也,8.84,18,0,0,0,1,.000,93,18.1,31,6,8,1,12,19,18,2.13,7.54
79,阪,41,サンティアゴ,4.32,3,1,0,0,0,1.000,76,16.2,20,2,7,0,7,8,8,1.62,5.10
80,阪,27,秋山　拓巳,4.40,3,0,1,0,0,.000,58,14.1,14,0,3,0,9,7,7,1.19,2.49
81,阪,66,二神　一人,2.57,12,0,0,0,0,.000,58,14.0,11,1,5,1,17,4,4,1.14,2.91
82,阪,15,横山　雄哉,6.75,4,0,2,0,0,.000,66,13.1,15,2,11,1,12,10,10,1.95,5.97
83,阪,30,石崎　剛,7.15,8,0,0,0,1,.000,54,11.1,12,1,8,1,11,9,9,1.76,4.71
84,阪,47,山本　翔也,4.22,7,1,0,0,0,1.000,46,10.2,11,0,3,0,10,5,5,1.31,2.09
