,Team,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,出身地,年俸(推定),投,打
0,広,0,上本　崇司,内野手,1990/08/22,25,4,170,71,A,広島,880,右,両
1,広,00,中東　直己,外野手,1981/10/05,34,10,168,73,B,広島,1300,右,左
2,広,2,田中　広輔,内野手,1989/07/03,26,3,171,81,A,神奈川,4100,右,左
3,広,4,小窪　哲也,内野手,1985/04/12,30,9,175,80,O,奈良,4000,右,右
4,広,5,ルナ,内野手,1980/02/01,36,4,187,99,B,ドミニカ共和国,12000,右,右
5,広,6,梵　英心,内野手,1980/10/11,35,11,173,76,B,広島,9000,右,右
6,広,7,堂林　翔太,内野手,1991/08/17,24,7,183,83,A,愛知,1830,右,右
7,広,9,丸　佳浩,外野手,1989/04/11,26,9,177,90,AB,千葉,8500,右,左
8,広,10,岩本　貴裕,外野手,1986/04/18,29,8,182,96,A,広島,1500,左,左
9,広,11,福井　優也,投手,1988/02/08,28,6,178,80,A,岡山,4200,右,右
10,広,12,九里　亜蓮,投手,1991/09/01,24,3,187,92,A,鳥取,1560,右,右
11,広,13,プライディ,外野手,1983/10/09,32,1,185,93,不明,アメリカ,5700,右,左
12,広,14,大瀬良　大地,投手,1991/06/17,24,3,187,93,AB,長崎,4600,右,右
13,広,15,黒田　博樹,投手,1975/02/10,41,13,185,93,B,大阪,60000,右,右
14,広,16,今村　猛,投手,1991/04/17,24,7,183,95,B,長崎,3650,右,右
15,広,17,岡田　明丈,投手,1993/10/18,22,1,185,80,AB,東京,1500,右,左
16,広,19,野村　祐輔,投手,1989/06/24,26,5,177,82,AB,岡山,5200,右,右
17,広,20,永川　勝浩,投手,1980/12/14,35,14,188,98,O,広島,5000,右,右
18,広,21,中﨑　翔太,投手,1992/08/10,23,6,186,96,B,鹿児島,4200,右,右
19,広,22,中村　恭平,投手,1989/03/22,27,6,185,82,O,福岡,800,左,左
20,広,23,薮田　和樹,投手,1992/08/07,23,2,188,84,B,広島,1000,右,右
21,広,24,横山　弘樹,投手,1992/03/12,24,1,187,86,O,宮崎,1350,右,左
22,広,25,新井　貴浩,内野手,1977/01/30,39,18,189,96,B,広島,6000,右,右
23,広,26,廣瀬　純,外野手,1979/03/29,37,16,181,85,B,大分,3800,右,右
24,広,27,會澤　翼,捕手,1988/04/13,27,10,177,91,B,茨城,2300,右,右
25,広,29,江草　仁貴,投手,1980/09/03,35,14,178,83,A,広島,1700,左,左
26,広,30,一岡　竜司,投手,1991/01/11,25,5,179,82,O,福岡,2400,右,右
27,広,31,石原　慶幸,捕手,1979/09/07,36,15,177,90,A,岐阜,10000,右,右
28,広,32,白濱　裕太,捕手,1985/10/31,30,13,180,92,A,大阪,860,右,右
29,広,33,菊池　涼介,内野手,1990/03/11,26,5,171,69,A,東京,8500,右,右
30,広,34,中田　廉,投手,1990/07/21,25,8,189,91,AB,大阪,2600,右,右
31,広,35,下水流　昂,外野手,1988/04/23,27,4,178,88,A,神奈川,810,右,右
32,広,36,塹江　敦哉,投手,1997/02/21,19,2,178,78,A,香川,540,左,左
33,広,37,野間　峻祥,外野手,1993/01/28,23,2,180,80,B,兵庫,1700,右,左
34,広,38,赤松　真人,外野手,1982/09/06,33,12,182,75,O,京都,3300,右,右
35,広,39,飯田　哲矢,投手,1991/03/28,25,2,182,80,A,神奈川,1000,左,左
36,広,40,倉　義和,捕手,1975/07/27,40,19,179,90,O,京都,2700,右,右
37,広,41,藤井　皓哉,投手,1996/07/29,19,2,181,83,AB,岡山,540,右,左
38,広,42,ジョンソン,投手,1984/10/14,31,2,193,93,不明,アメリカ,15000,左,左
39,広,43,土生　翔平,外野手,1989/08/16,26,5,180,87,O,広島,690,右,左
40,広,44,松山　竜平,外野手,1985/09/18,30,9,176,95,B,鹿児島,2800,右,左
41,広,45,桒原　樹,内野手,1996/07/04,19,2,180,74,O,静岡,540,右,左
42,広,46,高橋　樹也,投手,1997/06/21,18,1,176,75,A,岩手,540,左,左
43,広,47,小野　淳平,投手,1987/04/05,28,7,178,82,B,大分,1400,右,右
44,広,48,西原　圭大,投手,1988/09/29,27,3,179,81,B,愛媛,790,右,右
45,広,49,天谷　宗一郎,外野手,1983/11/08,32,15,178,87,O,福井,2300,左,左
46,広,50,髙橋　大樹,外野手,1994/05/11,21,4,181,85,O,大阪,650,右,右
47,広,51,鈴木　誠也,外野手,1994/08/18,21,4,181,87,A,東京,1700,右,右
48,広,52,庄司　隼人,内野手,1991/06/21,24,7,175,76,A,静岡,580,右,左
49,広,53,戸田　隆矢,投手,1993/06/10,22,5,181,72,A,兵庫,1970,左,左
50,広,54,船越　涼太,捕手,1993/11/26,22,1,178,83,O,千葉,800,右,右
51,広,55,エルドレッド,内野手,1980/07/12,35,5,196,122,不明,アメリカ,12500,右,右
52,広,56,辻　空,投手,1994/04/24,21,4,184,84,O,岐阜,460,右,右
53,広,57,オスカル,投手,1991/03/28,25,1,178,78,O,ブラジル,800,左,左
54,広,58,ジャクソン,投手,1987/10/27,28,1,185,88,不明,アメリカ,7260,右,右
55,広,59,美間　優槻,内野手,1994/05/26,21,4,177,90,B,徳島,600,右,右
56,広,60,安部　友裕,内野手,1989/06/24,26,9,181,81,O,福岡,1080,右,左
57,広,61,磯村　嘉孝,捕手,1992/11/01,23,6,178,89,A,愛知,615,右,右
58,広,62,今井　啓介,投手,1987/05/24,28,11,183,89,B,新潟,1400,右,右
59,広,63,西川　龍馬,内野手,1994/12/10,21,1,176,68,O,大阪,750,右,左
60,広,64,多田　大輔,捕手,1996/05/25,19,2,189,92,B,徳島,490,右,右
61,広,65,久本　祐一,投手,1979/03/14,37,15,177,83,O,大阪,1000,左,左
62,広,66,ヘーゲンズ,投手,1989/05/12,26,1,190,95,不明,アメリカ,5700,右,右
63,広,67,中村　祐太,投手,1995/08/31,20,3,182,80,A,東京,460,右,右
64,広,68,中村　亘佑,捕手,1991/04/02,24,7,181,87,O,神奈川,460,右,右
65,広,69,青木　陸,内野手,1997/11/11,18,1,181,87,B,山形,420,右,右
66,広,98,佐藤　祥万,投手,1989/08/18,26,9,172,78,B,栃木,600,左,左
67,広,121,松浦　耕大,捕手,1993/04/06,22,2,175,78,O,福岡,380,右,右
68,広,123,木村　聡司,内野手,1996/05/06,19,2,180,78,B,静岡,320,右,右
69,広,145,バティスタ,内野手,1992/01/18,24,1,189,115,不明,ドミニカ共和国,235,右,右
70,広,146,メヒア,内野手,1993/03/10,23,1,192,102,不明,ドミニカ共和国,234,右,右
71,巨,0,藤村　大介,内野手,1989/07/25,26,9,174,74,AB,熊本,1125,右,左
72,巨,00,寺内　崇幸,内野手,1983/05/27,32,10,177,73,B,栃木,2600,右,右
73,巨,001,篠原　慎平,投手,1990/06/13,25,2,186,97,A,愛媛,260,右,左
74,巨,002,田原　啓吾,投手,1994/06/12,21,4,182,95,A,神奈川,280,左,左
75,巨,2,脇谷　亮太,内野手,1981/11/04,34,11,177,77,A,大分,2400,右,左
76,巨,003,ペレス,投手,1991/11/20,24,2,189,100,不明,ドミニカ共和国,500,左,左
77,巨,004,川相　拓也,内野手,1990/11/25,25,2,174,72,O,神奈川,270,右,右
78,巨,005,田中　貴也,捕手,1992/08/27,23,2,178,80,O,京都,250,右,左
79,巨,5,ギャレット,外野手,1981/06/21,34,1,196,107,不明,アメリカ,30000,左,左
80,巨,006,芳川　庸,捕手,1993/08/18,22,5,183,86,A,京都,280,右,右
81,巨,6,坂本　勇人,内野手,1988/12/14,27,10,186,83,AB,兵庫,25000,右,右
82,巨,7,長野　久義,外野手,1984/12/06,31,7,180,85,O,佐賀,17500,右,右
83,巨,007,髙橋　洸,外野手,1993/04/30,22,5,184,77,A,新潟,510,右,右
84,巨,8,片岡　治大,内野手,1983/02/17,33,12,176,78,O,千葉,8600,右,右
85,巨,008,青山　誠,外野手,1991/11/01,24,3,185,85,O,兵庫,240,右,右
86,巨,9,亀井　善行,外野手,1982/07/28,33,12,178,82,AB,奈良,7000,右,左
87,巨,009,長江　翔太,外野手,1991/10/08,24,3,190,98,O,大阪,250,右,左
88,巨,10,阿部　慎之助,内野手,1979/03/20,37,16,180,97,A,千葉,32600,右,左
89,巨,010,髙橋　慎之介,投手,1994/07/25,21,2,187,90,A,千葉,250,右,左
90,巨,11,クルーズ,内野手,1984/02/10,32,3,183,95,不明,メキシコ,24400,右,右
91,巨,011,北之園　隆生,外野手,1995/04/12,20,3,180,88,AB,鹿児島,250,右,左
92,巨,012,成瀬　功亮,投手,1992/08/19,23,6,182,84,A,北海道,260,右,右
93,巨,12,鈴木　尚広,外野手,1978/04/27,37,20,180,78,A,福島,6000,右,両
94,巨,013,田中　太一,投手,1993/02/27,23,6,181,85,O,大分,510,右,右
95,巨,13,香月　良太,投手,1982/07/27,33,13,180,85,A,福岡,3900,右,右
96,巨,014,アブレイユ,外野手,1989/10/24,26,3,190,85,不明,ドミニカ共和国,500,右,右
97,巨,015,増田　大輝,内野手,1993/07/29,22,1,172,65,A,徳島,240,右,右
98,巨,15,澤村　拓一,投手,1988/04/03,27,6,184,101,A,栃木,10000,右,右
99,巨,016,小林　大誠,捕手,1994/01/15,22,1,180,82,O,青森,240,右,左
100,巨,17,大竹　寛,投手,1983/05/21,32,15,184,92,B,埼玉,10000,右,右
101,巨,18,杉内　俊哉,投手,1980/10/30,35,15,175,82,A,福岡,5000,左,左
102,巨,018,田島　洸成,内野手,1996/07/13,19,1,175,78,A,埼玉,240,右,左
103,巨,19,菅野　智之,投手,1989/10/11,26,4,186,92,A,神奈川,13000,右,右
104,巨,019,大竹　秀義,投手,1988/07/26,27,1,180,87,AB,埼玉,240,右,右
105,巨,20,マシソン,投手,1984/02/27,32,5,191,104,不明,カナダ,18500,右,右
106,巨,020,橋本　篤郎,投手,1998/02/24,18,1,178,82,B,熊本,240,左,左
107,巨,021,矢島　陽平,投手,1990/06/16,25,1,179,82,AB,埼玉,240,右,右
108,巨,21,桜井　俊貴,投手,1993/10/21,22,1,181,82,AB,兵庫,1500,右,右
109,巨,22,小林　誠司,捕手,1989/06/07,26,3,178,80,O,大阪,2600,右,右
110,巨,022,長谷川　潤,投手,1991/06/15,24,1,186,74,B,東京,240,右,右
111,巨,23,相川　亮二,捕手,1976/07/11,39,22,183,86,A,千葉,5500,右,右
112,巨,023,坂口　真規,内野手,1990/09/29,25,4,187,95,A,和歌山,500,右,右
113,巨,024,田中　大輝,投手,1992/08/07,23,2,182,80,O,熊本,800,左,左
114,巨,25,村田　修一,内野手,1980/12/28,35,14,177,92,AB,福岡,30000,右,右
115,巨,025,ウーゴ,投手,1989/05/22,26,5,181,85,A,ブラジル,400,左,左
116,巨,26,内海　哲也,投手,1982/04/29,33,13,186,95,A,京都,40000,左,左
117,巨,27,實松　一成,捕手,1981/01/18,35,18,177,85,A,佐賀,3700,右,右
118,巨,28,高木　京介,投手,1989/09/05,26,5,183,86,AB,石川,2800,左,左
119,巨,30,宮國　椋丞,投手,1992/04/17,23,6,186,84,B,沖縄,1900,右,右
120,巨,31,松本　哲也,外野手,1984/07/03,31,10,168,66,O,山梨,2400,左,左
121,巨,32,橋本　到,外野手,1990/04/28,25,8,172,78,O,宮城,2600,右,左
122,巨,35,西村　健太朗,投手,1985/05/10,30,13,184,94,A,広島,13000,右,右
123,巨,36,中井　大介,内野手,1989/11/27,26,9,182,85,B,三重,1440,右,右
124,巨,37,田原　誠次,投手,1989/09/02,26,5,180,80,A,宮崎,1800,右,左
125,巨,38,岡本　和真,内野手,1996/06/30,19,2,184,96,A,奈良,1400,右,右
126,巨,39,マイコラス,投手,1988/08/23,27,2,196,100,不明,アメリカ,24000,右,右
127,巨,40,加藤　健,捕手,1981/03/23,35,18,186,93,A,新潟,3500,右,右
128,巨,42,アンダーソン,外野手,1982/03/30,34,3,185,93,不明,キューバ,5500,左,左
129,巨,43,重信　慎之介,外野手,1993/04/17,22,1,173,70,A,千葉,1200,右,左
130,巨,44,大田　泰示,外野手,1990/06/09,25,8,188,95,O,広島,2100,右,右
131,巨,45,今村　信貴,投手,1994/03/15,22,5,180,84,AB,大阪,950,左,左
132,巨,46,與那原　大剛,投手,1998/03/09,18,1,190,89,A,沖縄,600,右,右
133,巨,47,山口　鉄也,投手,1983/11/11,32,11,184,88,A,神奈川,32000,左,左
134,巨,48,矢貫　俊之,投手,1983/12/15,32,8,190,95,B,福島,2200,右,右
135,巨,49,ポレダ,投手,1986/10/01,29,2,198,109,不明,アメリカ,15600,左,左
136,巨,50,戸根　千明,投手,1992/10/17,23,2,173,93,A,京都,2400,左,左
137,巨,51,堂上　剛裕,外野手,1985/05/27,30,13,184,90,O,愛知,2500,右,左
138,巨,52,宇佐見　真吾,捕手,1993/06/04,22,1,181,87,O,千葉,800,右,左
139,巨,53,河野　元貴,捕手,1991/06/14,24,7,180,83,B,福岡,670,右,左
140,巨,54,高木　勇人,投手,1989/07/13,26,2,178,90,A,三重,4200,右,右
141,巨,56,山本　泰寛,内野手,1993/10/10,22,1,176,76,B,東京,800,右,右
142,巨,57,公文　克彦,投手,1992/03/04,24,4,173,78,A,高知,850,左,左
143,巨,58,立岡　宗一郎,外野手,1990/05/18,25,8,181,81,A,熊本,3600,右,左
144,巨,59,小山　雄輝,投手,1988/12/05,27,6,187,82,O,愛知,2800,右,右
145,巨,60,大累　進,内野手,1990/08/31,25,4,175,73,O,北海道,800,右,右
146,巨,61,和田　恋,内野手,1995/09/26,20,3,180,84,O,高知,780,右,右
147,巨,62,江柄子　裕樹,投手,1986/11/14,29,5,184,82,B,東京,1230,右,右
148,巨,64,鬼屋敷　正人,捕手,1991/06/19,24,7,178,84,O,三重,620,右,右
149,巨,65,辻　東倫,内野手,1994/08/11,21,4,181,83,B,三重,710,右,左
150,巨,66,北　篤,外野手,1988/11/26,27,10,182,88,A,石川,790,右,左
151,巨,67,土田　瑞起,投手,1990/01/01,26,5,181,90,O,長崎,1000,右,右
152,巨,68,吉川　大幾,内野手,1992/08/21,23,6,175,73,A,大阪,1700,右,両
153,巨,69,松崎　啄也,捕手,1992/01/20,24,1,174,90,O,栃木,800,右,右
154,巨,90,田口　麗斗,投手,1995/09/14,20,3,171,80,B,広島,1800,左,左
155,巨,91,中川　皓太,投手,1994/02/24,22,1,183,83,A,大阪,800,左,左
156,巨,92,平良　拳太郎,投手,1995/07/12,20,3,181,77,O,沖縄,600,右,右
157,巨,93,巽　大介,投手,1997/04/26,18,1,183,84,AB,鳥取,540,左,左
158,巨,94,メンドーサ,投手,1994/03/05,22,3,190,80,不明,キューバ,1400,右,右
159,巨,99,阿南　徹,投手,1984/07/28,31,7,182,80,O,大分,1000,左,左
160,阪,0,大和,外野手,1987/11/05,28,11,177,68,A,鹿児島,5300,右,右
161,阪,00,柴田　講平,外野手,1986/07/17,29,8,177,78,A,福岡,950,左,左
162,阪,1,鳥谷　敬,内野手,1981/06/26,34,13,180,79,B,東京,40000,右,左
163,阪,2,北條　史也,内野手,1994/07/29,21,4,177,76,O,大阪,730,右,右
164,阪,4,上本　博紀,内野手,1986/07/04,29,8,173,67,O,広島,3600,右,右
